Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28
Afghanistan,0.08384283382744864,0.015969789387685375,0.0020006136508027425,0.21007936003841554,0.23168533287422113,0.405234076310505,2.9479549126080575e-05,0.020728890685730438,0.0024280818561981583,2.663281952722534e-05,8.433548280275884e-05,7.873231773004639e-05,0.0001231366178362508,0.003758475618331559,0.0046090135138926085,0.004154908449042217,0.002185514777820204,0.002895897747677394,0.002923286798844947,0.0024813896384591762,0.0036198730414805477,0.00015761340601420148,4.1520743675150567e-07,0.0008886486919832074,5.747554398802654e-06,4.0410679119598445e-06,4.411365571674172e-08,3.834955021315934e-06
Albania,0.8337596835375211,0.1358148878676723,0.00200786664595481,6.292259867777605e-05,0.012929257545505989,0.0001677444531990997,0.0020590507445654833,0.00018118138432784322,0.0015459588724654875,0.001423305489504842,7.628357369287904e-05,2.063136137314082e-05,0.00606981571396355,0.0006915260837843647,0.0010558434841761116,0.00020985366642724444,0.0004764838293489317,2.083167326472775e-05,0.0001968050862099372,0.00042837224822578807,0.0004525346785993755,1.9285103378412485e-06,0.00016895970773843846,4.2256464335883596e-05,0.00010224677133320741,3.114864054551532e-05,2.232095176224052e-06,3.872720721084013e-07
Algeria,0.07246442711411581,0.12473056764024468,0.002624525144907465,0.035311999017515715,0.06363443054426379,0.15088410057479626,0.021983232803467388,0.033183289560887425,0.00015643644039450388,0.1980705690122698,0.057901410347583455,0.0027289398079299626,0.024489315534581096,0.0009171932846117338,0.001113030742415539,0.00615455306738815,0.015638375595425594,0.007031503953050788,0.00029383163355163887,0.023208196328678227,0.09168595692999647,0.046845761521970286,0.00888259481768134,0.0014784071067079647,0.008404259850749265,6.646608493357693e-07,0.00015221647121387453,3.0210492752558737e-05
American Samoa,0.6258887500333814,0.15064687119490958,0.004713969398267643,0.004815605536204942,0.008243933809152578,0.01590853216592213,0.0011948567925072805,0.0030605653545506322,0.007129163300179857,0.02677753091297816,0.1000542511745135,0.004088949446655874,0.0032470292267802866,0.0003306902959114715,0.01112520989526267,0.00011013953789149317,0.0006924111500954933,0.018959087530429634,4.118296570368883e-07,0.00019306106289692407,2.2406354337199032e-07,0.006642042593348877,0.0038374497737511323,0.0014800554678288016,2.8713174720254165e-05,0.0007562721976309975,7.420180955597226e-05,2.127147211364365e-08
Andorra,0.2302913529298711,0.06491179890249386,8.944127827740883e-05,0.09248896975573159,0.16666808640703057,0.354476332703349,0.005948853785286792,0.01673378808099808,0.015094361911222272,0.007199709414536991,0.03087443640497962,0.0019210637034441443,0.0026032574133601455,0.0007875605740928856,0.004143561054752736,0.00020370667932057126,0.000681109934366059,0.001702564825316052,0.0008726606889528652,0.00021802091039873852,1.870008403618557e-05,0.000552973054053195,0.0013623761183105393,7.46639597196324e-07,3.764001653465464e-05,0.00011577478755741302,1.0903679434321995e-06,6.157418587432533e-08
Angola,0.01218169511138201,0.5773871162891532,0.0824895880085594,0.02885730576613347,0.09436325786372902,0.05302223025764578,0.11229592111426748,0.00028833165397575226,0.023779534137999898,0.0017202827223209718,0.0010119554163704103,0.0015483979383774315,0.0005554980574496623,0.008597384144116791,0.00017188511211917737,0.0006491326400368314,5.5409618251521055e-05,4.7402726500607026e-05,1.1729304443778512e-05,3.485418873516639e-05,0.0002877081941397151,2.4683140349061787e-06,2.9393059213945353e-05,0.0005693834096455497,2.1696996652371896e-05,1.7015550130772038e-05,3.0016208918243166e-06,4.207837225196243e-07
Anguilla,0.38297630639397223,0.022350194498769384,0.007615256954514062,0.05362777307250641,0.17310351145660088,0.07735602815779823,0.06267128803998007,0.05886871368876634,0.020285426397233484,0.010431274026765466,0.10193791144077424,0.0007812114533525205,9.664459436037097e-05,0.0053597731871003595,0.006100984760211355,0.009415474490439201,9.388663792165009e-05,0.0008416233998113714,0.00013476257302347524,0.0029917668737617403,0.0008093451518845988,0.00019591994294019998,0.0005894930092601372,0.000976354689292702,2.273825510006361e-06,0.00038100636925178266,1.4888636672810642e-06,4.306050530616051e-06
Antigua and Barbuda,0.5741468383198457,0.04423987273473175,0.005307882940592491,0.03041588451021863,0.03841171687063437,0.20234825880512824,0.008794864446418162,0.05136224016683696,0.0279205671724865,0.007056248053309678,0.000387492064562091,0.0011880086378569497,0.0032843114578220665,4.668146826180598e-06,0.0025350150750269394,2.235182492316149e-05,3.485717037561377e-05,0.0007026983533548442,0.0005256033738096197,1.2587908856414428e-06,8.915910907410374e-05,1.5804856718789707e-05,0.0006398374659779868,0.00043150236965085664,0.00011733737654555157,7.750649879441877e-06,6.320296301737182e-06,1.6489602059884275e-06
Argentina,0.11793529519949349,0.06278142340343283,0.01878991430405912,0.03437195426483902,0.33432001961892915,0.017013223031864397,0.007743325783757876,0.04064584456592479,0.038827929750609586,0.2016458152456724,0.1065608837713854,0.0008030764944090766,0.00019334695517991655,0.009209835007486058,0.0015423941413343746,0.002989770327464422,0.0002820765561566736,0.0032235259713382456,0.00017707914018223002,0.0004137690734829824,3.6474084603807626e-05,0.00020288064195191953,9.751334934233615e-05,0.0001906880865281221,1.5456640180102487e-06,3.632617771795382e-07,3.1326397337938594e-08,9.783791946803556e-10
Armenia,0.7557581005685371,0.12684869065973164,0.001581054035298602,0.01020860800238451,0.058984065405455095,0.026457737709044943,0.004675406408138795,0.003908253391196927,0.0003913483810161611,0.0007992675309926811,0.0022172833230293377,1.4617469741573964e-08,0.005932223893635744,0.00014007175401845542,0.0010023716693758223,0.00015370195291811303,4.996573740209284e-05,2.4337393720696847e-05,2.3218282111646233e-06,0.0005553868783044365,5.957139172448971e-05,2.672925886887339e-06,0.00010009178404750277,3.386908698579915e-05,9.203153689353576e-05,1.8423501055519984e-05,7.382284358088952e-07,2.3904050886474443e-06
