Factor de risc,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28
Forest fires,0.0005913565587786507,0.05121273486786244,0.09369258836152845,0.09535993027654605,0.12985158276010764,0.16438225616572716,0.20342529237589985,0.20450718970994977,0.254081370199472,0.3051742468165446,0.3408684035244557,0.3865746013995766,0.43703054814241327,0.4849041138725417,0.5325208314973182,0.5815299400798849,0.6339038887451522,0.6620574237645499,0.7111066806887097,0.711502251745151,0.7116714285937881,0.7594849783713815,0.7966394272222622,0.8502679831945572,0.8990852881569764,0.9484013946008488,0.9999999031691373,1.0000000000000007
Crop Residues,0.2735819908579805,0.274279076350906,0.27564696986667286,0.3008133712346097,0.31403171448945927,0.31955856394830395,0.31962114854604573,0.5952535121240649,0.6018735819431418,0.603668790071153,0.6071739140247796,0.6162748074780684,0.617435259215304,0.6228731052016296,0.631596914355416,0.6392566535122536,0.6394848082425889,0.6833456725231088,0.6833503652083643,0.7104540443532914,0.9909177878857005,0.9922086942715822,0.9930703501725291,0.9932872410441307,0.993868252249198,0.9942602571243021,0.9977364922588569,1.0000000000000013
Rice Cultivation,0.03613608534583822,0.036337615649508714,0.05832842704572779,0.4597030665673486,0.4709375499128393,0.4721541764826709,0.478440353254728,0.4784954641125884,0.47901136199581507,0.48104997751461276,0.48165968646419566,0.48603347278384745,0.4938939418001529,0.4993672879817429,0.5002913411016737,0.5045113326424635,0.5052686965868357,0.5069326220182206,0.5070796400103419,0.9438453637835371,0.979652053834288,0.9877345709003978,0.9944726606439628,0.9946237442176181,0.9967838444038988,0.998943403777098,0.9991262262683104,0.9999999999999997
Drained organic soils (CO2),0.001750391092757028,0.0017528902949518624,0.05499055166211258,0.0965424103469095,0.14542661443611657,0.20874956098561281,0.2832357599993674,0.2854731185754122,0.29063378704026965,0.2957053888763851,0.4368024779308286,0.4471381702282603,0.46151242438671425,0.49393057784925976,0.5066028444293798,0.5211797711236372,0.5227675181176822,0.5451247636599408,0.5466321495167671,0.5513114380394718,0.555582929826643,0.5870492771307937,0.7445224107407585,0.7472158206265973,0.7991695655013367,0.845935068453413,0.8465803666151823,0.9999999999999983
Pesticides Manufacturing,0.045484110425715985,0.06806685030178883,0.09580448391411119,0.09726537996254701,0.2426579172644428,0.3637836477342644,0.36387303904127205,0.3660302012813948,0.38929960892931953,0.3913644384054324,0.3926951660212282,0.43067871648004064,0.43142623547604547,0.432095631663695,0.45228266699849223,0.46405260026612427,0.4660088220596393,0.5882372551277917,0.607682680032535,0.6092198986446588,0.6891030885913281,0.691591649127328,0.6990508451534182,0.701328320504111,0.7061335235413901,0.7102592700002265,0.7173447993934554,0.9999999999999993
Food Transport,0.009075071860054284,0.02410837537528831,0.024581785467198046,0.02468725176983794,0.03994239967414591,0.06358413181906541,0.06444535195742222,0.07009747345991363,0.10348183390616694,0.10515649685106004,0.1611526634184745,0.22083324799994009,0.22372756748833478,0.24065193975819243,0.26221171043628777,0.2946029541342048,0.29668329426739704,0.34836964090654643,0.35783418515534626,0.3875898287724013,0.40070767266858043,0.426899748144815,0.4565669794736591,0.4567487583994384,0.4629742271811268,0.4691785232484443,0.48551517892422447,0.999999999999999
Forestland,0.13430426401540999,0.1443759073841955,0.14450761873882884,0.17683214998283475,0.1799689296212829,0.28498385303056417,0.287471568013615,0.5479867139705858,0.5600690718756051,0.5845621703714834,0.6199682662855954,0.6544638116300485,0.6732337844129553,0.6812476728375564,0.6826999163717481,0.6842905834980432,0.6844295778189549,0.8600682426686761,0.9226916086366421,0.9243210342670606,0.9631389048783302,0.9771815679746362,0.9804620705793066,0.9835401573117915,0.9835417683473212,0.9835422927598753,0.9956610474250268,0.9999999999999993
Net Forest conversion,8.010704389723887e-05,0.004884441096142882,0.029537035238808317,0.06760555406997087,0.1179108596876698,0.12228206759075476,0.7038154638046475,0.706422786925686,0.7070940269048207,0.7516458144095086,0.7686162910584552,0.7719361912973038,0.7719945411892117,0.7923421440022297,0.8588765326544331,0.8601357772404773,0.8630301759923634,0.8651611498916023,0.8671034983380427,0.8913487713354746,0.8914831814805271,0.9057049162584917,0.9160213485721056,0.9188590410073113,0.9191831516236626,0.9198161896109532,0.9681378894131647,1.000000000000001
Food Household Consumption,0.06994745818848312,0.07019601418934102,0.07025094304680812,0.07181478466631083,0.08536219896675191,0.17515238095415922,0.18141089170749622,0.5358582252420907,0.5378667851535066,0.5632916993539079,0.5998775087235773,0.6106778678135412,0.611511678314434,0.6120847086145809,0.612285287799409,0.6123793621831365,0.6202042997749844,0.9569029588224154,0.9574394944644183,0.9698370225701731,0.9738815939080088,0.9741855304600017,0.976299577532746,0.9776274863182091,0.9796746919027814,0.9814177104243194,0.9938888801812991,0.999999999999999
Food Retail,0.001900480674617226,0.1383506068028465,0.18061974328030744,0.18144656290668196,0.5113772723090989,0.7977863344185034,0.7995026498089113,0.8131213474297587,0.8131800836116992,0.8192636203048653,0.8338205557293301,0.834796750342899,0.8754909574379535,0.875802011944761,0.8786478347594914,0.881372549364701,0.8815617250266207,0.9566116650207022,0.9658668713194505,0.9683530663629901,0.9684200195657803,0.9692287934766786,0.969453008118542,0.9878602402971313,0.9918727613806027,0.9974845493492807,0.9999378448145007,0.9999999999999992
