Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28
Afghanistan,0.00011543571370477663,0.00014246492833447992,2.5900260007379064e-05,0.0032131506828503194,0.006117910871737647,0.011473660292905741,1.6543154722853861e-06,0.00229455523116205,0.00032225798446410583,5.527910176595438e-06,2.1941056981865138e-05,2.635792299819199e-05,5.877447607208998e-05,0.002349071611607352,0.003120728250702371,0.003369219938670309,0.0025317087612524067,0.004069488791507814,0.005785276911841402,0.005693927433666438,0.010842059690934377,0.000899752091183203,2.749627270281441e-06,0.007963975823698522,0.00011960920692376835,0.0001915001320928617,5.466643923401905e-06,0.0026507976120138223
Albania,0.0002937875671278981,0.00031008048374597813,6.6526402596026e-06,2.4630466388593707e-07,8.7376867153277e-05,1.2155210257277713e-06,2.9572144700681217e-05,5.132799575217832e-06,5.251176031190119e-05,7.560669147936886e-05,5.079214085234241e-06,1.7676827047578624e-06,0.0007414729798813152,0.00011061432241651541,0.00018296406190147782,4.355146242071807e-05,0.00014126235484238967,7.492022395524506e-06,9.967983769365124e-05,0.0002515686790530187,0.00034688745876927077,2.8175391538448757e-06,0.00028635853417470416,9.691952149438688e-05,0.000544564594314063,0.0003777724685346321,7.079111033685235e-05,6.850949297993665e-05
Algeria,2.3546628822130882e-05,0.0002626100274965561,8.019019418064227e-06,0.00012746755090213473,0.0003965759722835462,0.0010082521076021094,0.0002911512673029008,0.0008669050290583302,4.9001335787278846e-06,0.00970271805369322,0.0035552159291905366,0.00021561637290906614,0.0027587212720342363,0.00013529290329635356,0.0001778626513412417,0.0011778610351072096,0.0042754444466951095,0.0023320319158411213,0.00013724006229511607,0.012568631238907897,0.06481132618013975,0.063114572475614,0.013882835766397315,0.003126968451269837,0.04127723740915553,7.43365939379095e-06,0.004451834571332852,0.004928374888288883
American Samoa,0.0001710509018918411,0.0002667613280195314,1.2113834451398463e-05,1.4620175676553004e-05,4.321087692885251e-05,8.940876968714922e-05,1.3309671318337221e-05,6.72478016370714e-05,0.0001878161374753806,0.0011032357841426843,0.005166979459227669,0.0002717214159136435,0.0003076392349911541,4.10260730749276e-05,0.0014952374421873852,1.7728220004813114e-05,0.00015921281799754898,0.005288445638138495,1.6177981087849626e-07,8.793578314682356e-05,1.3321208750701236e-07,0.007526366211913577,0.005044352022984885,0.002632884440467757,0.00011860874571964324,0.007113855562089518,0.0018252241772931217,2.918554597328942e-06
Andorra,0.0001895603378229086,0.00034620076193755457,6.922683758351272e-07,0.0008457329433330218,0.0026311926834260337,0.006000381621563367,0.00019958430610442964,0.0011074198873016886,0.0011977073662265655,0.0008934173843489173,0.004802217736755294,0.00038449926514415203,0.0007428724604316368,0.00029428226174132494,0.0016773253573402708,9.875720081101969e-05,0.000471707532092793,0.0014303946903336585,0.001032508742468173,0.0002990960733576933,3.348556354936849e-05,0.001887249324510649,0.005393880543826871,4.000427873588009e-06,0.0004683029839071559,0.003280065533608077,8.078233664102864e-05,2.5445475650423966e-05
Angola,7.491814367179141e-05,0.023008107762185627,0.004770293156020066,0.0019715533183481035,0.011130446065674766,0.006705930669114168,0.028149229707125675,0.00014256726440641665,0.014097715549545595,0.0015949559661433952,0.0011760170754675657,0.0023155052576741557,0.0011843747195736678,0.02400246747642377,0.0005198658281633803,0.0023512910406334945,0.000286714854329462,0.00029755345279364523,0.00010368836427874408,0.0003572539018110312,0.0038492465100273617,6.29412207319859e-05,0.0008694778664486978,0.022793429515472082,0.0020169084287492934,0.003601836230593424,0.00166153163737361,0.0012992127261799654
Anguilla,0.00013049634213518807,4.934489970800751e-05,2.439931570527282e-05,0.0002029970179911625,0.001131260623927777,0.0005420537837898411,0.0008703988401323122,0.0016127208077347881,0.0006663105538025383,0.0005358378333700617,0.006563494558308186,6.472602531655235e-05,1.141645585483021e-05,0.0008290545734320271,0.0010223511728614757,0.0018895670311051152,2.6916337970811742e-05,0.0002927026293357412,6.600460079172454e-05,0.0016990137795553765,0.0005999352952651527,0.000276796468291788,0.0009661388597202806,0.002165507199212274,1.171091539112005e-05,0.004468454633703632,4.566199240465036e-05,0.0007366269543658337
Antigua and Barbuda,0.0002931025388138862,0.00014633391885317831,2.5479129812273697e-05,0.0001724926190057212,0.0003760890445360832,0.0021243098347371063,0.00018299912102793826,0.0021080881683389996,0.0013740007126130556,0.000543050264782751,3.7379404804510315e-05,0.00014746878625329553,0.0005812570588387095,1.0818109811389082e-06,0.0006364303414835167,6.720525748355236e-06,1.4971816143626357e-05,0.00036614063325379244,0.00038568542666595623,1.0710084867810104e-06,9.901626359827622e-05,3.34535824902408e-05,0.0015710887855785866,0.0014338554486720764,0.0009053995061099772,0.00013618629557840908,0.000290407303930228,0.00042261881702902
Argentina,0.0011129899700551436,0.0038389560643525343,0.0016673965708079897,0.003603505095791942,0.060511817410037506,0.003301838543882205,0.002978504323152205,0.030839818616827868,0.03532301831469917,0.2868839509833925,0.19002827761127752,0.0018428427207519092,0.0006325750978885857,0.039455684089582874,0.007158409625444715,0.01661800706095946,0.002239753368091316,0.03104995789584696,0.002402112476577148,0.006508009810501158,0.0007488176366609048,0.007938592862990184,0.004426352380388309,0.01171376740787465,0.0002204803175945361,0.000117995607520266,2.660917426225447e-05,4.635501365527695e-06
Armenia,0.0003048536923800173,0.0003315348364027398,5.996833819230592e-06,4.5745527470515206e-05,0.0004563244217151059,0.0002194740313100579,7.686900639420442e-05,0.00012674754991912914,1.5217324765119853e-05,4.8603820376667195e-05,0.00016900626551013179,1.433721364896337e-09,0.0008295708525863897,2.5648944113868074e-05,0.00019884339036386093,3.65158735073297e-05,1.6957690452152518e-05,1.0019939667832655e-05,1.3462236464378916e-06,0.00037337650261855146,5.2274586525820806e-05,4.470447846279473e-06,0.00019419656250298941,8.892783544812215e-05,0.0005611159320673006,0.0002557876061330963,2.6802352327919706e-05,0.00048408564655412706
