Factor de risc,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28
Forest fires,0.024317823890690766,0.22499195165401759,0.20610641303381613,0.04083309827845038,0.18571928409177543,0.18582430789759324,-0.1975931076990609,0.0328922078013916,0.22265260045533325,0.22603733456460812,0.18892897265351094,0.2137900789913342,0.22462401194626688,0.2188002873172894,0.21821255148312732,0.22138000944657743,0.2288535528788386,0.16779015173542705,0.22147066831560291,0.019888968209570385,0.013006800092145844,0.21866309651514923,0.1927548931956869,0.2315784013510219,0.22094638481409748,0.22207230003733572,0.22715305097728392,-0.0003111765791529611
Crop Residues,0.523050658022701,0.02640237665297289,-0.03698504448783128,0.15863921762268254,0.11497105398686043,0.07434278350213065,-0.007911042772085878,0.5250070128846082,-0.08136381148321987,-0.04236989648336728,-0.059204087305072046,-0.0953986029944298,0.03406540381729786,-0.07374175198844718,-0.09340133379018906,-0.08751993576801563,0.01510479163495257,0.20942985527502986,0.002166260661940866,0.16463195055920074,0.5295882773744233,-0.03592918571136371,-0.02935397589674778,-0.014727215337651594,-0.02410417401752695,-0.019799112987813474,0.0589596059565764,-0.04757633593651946
Rice Cultivation,-0.19009493771754737,-0.014196136927717212,0.1482929917299502,0.6335413479178931,-0.10599284572786359,-0.03488017445242417,0.0792854133624661,-0.0074236687601493745,-0.02271338555184199,-0.045151030096750845,0.02469228522399058,-0.06613460757917726,0.08865928612562513,-0.07398206662151302,-0.030398242053297317,-0.06496146196622882,0.02752024608124333,-0.04079124209171578,0.01212509761285619,0.6608825340203773,-0.18922655746683875,-0.08990282012323023,0.08208586811117359,0.01229160582085894,0.04647687797475959,0.04647105952309659,0.013521186753104647,0.029559663930587076
Drained organic soils (CO2),0.041837675518090485,0.001580886521808064,0.23073287881695734,-0.2038427302721314,-0.22109772520133958,-0.25164051054926795,0.27292159865748,-0.04730072489978131,-0.07183779273375156,-0.0712151798152293,0.3756289246775913,-0.10166460690639444,0.1198926776682128,-0.18005041922346496,-0.1125711622935464,-0.12073494396510662,-0.03984654306266623,0.14952339463193914,-0.03882506737696994,-0.0684053252510705,0.06535665067283702,-0.17738756242800874,0.3968288467462576,0.05189807208209978,0.22793364138437175,0.21625333049938533,-0.025402719574276464,-0.3916881838718345
Pesticides Manufacturing,-0.21327004108809092,0.15027554650066274,-0.1665461906268719,0.038221669880263404,0.38130373365847836,0.34803122053893615,0.009454697615875824,0.04644526068527088,-0.15254313372920042,0.04544039476185123,-0.03647913946073637,-0.19489369014622415,-0.027340793624268,-0.02587269192893444,-0.14208108718192294,-0.1084893232886629,0.044229196166277185,0.3496118319910703,0.13944685333396115,-0.03920737956206325,-0.2826361440910722,-0.049885474198407075,-0.08636663722809979,-0.047722901742169206,-0.06931957181979137,-0.06423197380461212,-0.08417558668182187,-0.531653271039071
Food Transport,-0.09526317158301147,0.12261037278808846,-0.021757989151337878,-0.010269678799256228,0.12351173184887325,0.1537586815269938,-0.029346552410066878,0.07518059259204739,-0.18271387589959695,-0.04092264586867638,0.23663509158071727,-0.24429610021747292,0.053798879992009885,-0.13009370572728587,-0.14683245784939838,-0.17997567529507155,0.04561074580833161,0.22734631432937158,0.09728588925841121,-0.1724982423593209,-0.11453315631806867,-0.16183965977545361,0.172241781600296,-0.013482541517803667,0.07890163991761145,0.07876735407081727,-0.12781492743721368,0.7172759727439464
Forestland,0.36647546168251155,0.10035757753545832,0.011476556741171266,0.1797902423492608,0.056006960624980937,0.3240600614226956,0.04987699853690927,-0.5104068435640051,-0.10991977940761725,0.15650271082597372,0.18816507623390696,-0.18572976429332233,-0.13700355025657832,0.089520324086774,-0.03810831319006004,-0.03988316845857476,0.011789585273101387,-0.41909266857071265,0.2502466103026492,-0.0403661446068164,0.1970225129554226,-0.1185017430095691,0.05727567201413123,-0.05548050768048959,-0.0012692657443340494,-0.0007241633476598906,-0.11008521547034168,-0.06587072623686864
Net Forest conversion,0.008950253845407898,0.06931330357330866,-0.15701144589699642,0.19511155483764295,-0.22428844289819957,-0.06611511100410371,-0.7625833700087439,0.051061953752657534,-0.0259082994257566,-0.21107294356380188,0.13027078202324013,-0.05761857546701937,0.007638710094504625,-0.14264502379339397,0.25794260728348734,-0.03548583641460624,0.05379961665185081,-0.0461624728457963,-0.04407208239282975,-0.155708936793724,-0.011593538935651052,-0.11925491511029884,0.101569839586434,-0.053269995637372815,0.01800307241420961,0.025160246169118987,-0.21982197297406691,-0.17849960948650928
Food Household Consumption,-0.2644758177763765,-0.01576565890972841,0.007411400506456988,-0.03954543740436709,-0.11639336020770723,0.29965009926146746,0.07911074992273166,0.5953547963480218,-0.04481696008673445,0.15945191814588258,0.19127417329495724,-0.10392477611216612,-0.028875777061281662,0.023938051302202112,0.014162598095976725,-0.009699195004096313,-0.0884586773123353,-0.5802574075765263,-0.023163239022273237,-0.11134418757059042,-0.06359694440643854,-0.01743377618282834,0.04597876762968201,0.036440482783067454,0.04524605601124169,0.04174947330850952,0.11167439167947008,-0.07817365169096269
Food Retail,-0.04359450280272991,0.3693915620696137,0.20559459252971843,-0.028754471415320917,0.5743959517636044,-0.5351719930166418,-0.04142843697761019,0.116699175750506,-0.00766395341456033,-0.07799703002785485,0.12065212565249209,0.031244113262643147,-0.2017280523255365,-0.017636737419589717,0.05334625398966921,-0.052198798886656864,-0.013754114363335328,-0.2739524411172157,0.0962039827592826,0.04986175933056905,-0.008182493677980506,-0.02843895059418103,0.014973798511512447,-0.1356732552074628,-0.0633444637160299,-0.07491186800953534,-0.049530752722122005,-0.007883856004428369
On-farm Electricity Use,0.11789456387219086,-0.12779218424305294,-0.045237845521425936,0.11024411904692219,0.4101141332006895,0.14667606728416455,-0.05009522141068167,-0.1342044645893449,0.059180529345891165,0.07470154412898686,0.14609840625880297,0.03266501119436973,0.15367803991026646,-0.20888065882718593,0.09623663930659694,-0.0009120658631917279,-0.4627541153467365,-0.04067301657677898,-0.6159504359480706,-0.014364293263719503,-0.052051527295065306,0.11321704747076033,0.06738148072425208,0.09724655870056631,0.07986544106797494,0.07595760328756257,0.012627290793154639,0.0103977974033569
Food Packaging,0.024022947608705325,-0.019785903772684528,0.7323966611360518,-0.23880711740316465,-0.035241076707702323,0.16852292882977365,-0.35371205085453783,-0.006765237364739672,-0.0665474301315331,0.1410519364071514,-0.2851335556684607,-0.09345553632017407,0.0477438983396017,0.03302403142037029,-0.25182510915157424,-0.08928026672353748,-0.058274349997357096,-0.020933809195034098,-0.12686774287136135,0.10174294329706277,-0.03666970959529211,-0.0630586226140656,-0.05519918866944795,-0.015228116594298737,-0.0430411105586576,-0.022320415601450823,-0.1426532262027506,-0.009992217428107127
Agrifood Systems Waste Disposal,-0.0931772951715526,-0.013621003828896354,0.334370710607004,0.5208055650598291,-0.037673029367841664,-0.03464699381895764,0.19698501386786418,0.02951887931491021,-0.09909379666480071,-0.00943581001184747,-0.2885534663066278,-0.026943559978250764,-0.16638360285479778,0.026969170961774088,0.21166328942070087,-0.07804171943372076,-0.08590518296644313,0.11829942999163945,0.0018015664176722294,-0.5652230714277884,0.07463313746003183,0.154200120690514,0.11969446361886639,-0.06531487468762802,0.021566538167136415,0.031717956542846294,0.04302269736460112,-0.021868941213985367
Food Processing,0.5432071414623377,0.013374539964760087,0.09107744066289017,-0.055146785529876466,-0.15596954294126938,0.026623145274958994,0.056658505282323704,0.166455100411879,0.02371078288937047,0.06678226880610005,0.08575228708756104,0.042232208305426185,-0.25443382198297626,-0.04619473928331078,0.22373358319298667,0.04662773234152038,-0.18703046419212843,0.11190522554407799,0.11998964505946379,0.04721814063662725,-0.6314744986905751,0.010706624215378081,0.045698413261763327,-0.1544505663316822,-0.0592841339232495,-0.07014191704903278,0.07721685355967269,0.02919636833849648
Fertilizers Manufacturing,-0.12971214678676893,0.21879894505755632,0.21583236920658805,-0.18649958066237365,-0.09841605293516324,0.27119204153479715,0.1591312848049289,-0.0797796467678503,-0.025155983317741794,-0.2757877676934158,0.14303342547790948,-0.0831842360169249,0.06749484490321522,-0.4360488664812127,0.4410393177296814,0.005790276232504417,0.03394067140764802,0.03162423159407111,0.04358634382850227,0.14470242583362225,0.18127479683858672,0.3050022897761571,-0.18221961150087654,-0.12241290974014632,-0.14154154606273525,-0.16116442165732875,-0.016205910130591014,0.019165467241211345
IPPU,0.26161472261357777,-0.07022338008356206,-0.012331327963593531,-0.022200902507200554,0.1703990106238489,0.028243289606526886,0.1060467956617774,0.021330555072954414,-0.03538341870407388,-0.4458692577804503,-0.3445506209587758,-0.02962219101722264,0.43143958963786805,-0.1405511862729537,-0.026475665823631356,-0.07005422253131018,0.3004411528481419,-0.31925705771880514,0.07126433111377442,-0.12025615044073888,-0.28266537379857654,0.05481200543052722,0.04950191230040077,0.16750597376240733,0.1045684347122705,0.12667093964072043,-0.022025623542746002,-0.02629980098297855
