,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature Â°C
Afghanistan,-0.25359107203916254,-0.19974664278881848,-0.213880660049315,-0.20846481670138842,-0.18318739141411883,-0.27383068809826333,0.19794241484074465,-0.2240797496293188,-0.1420090156296943,-0.20612812462672855,-0.1512886685771722,-0.11163261499169418,-0.11904035479862837,-0.12536505884329416,-0.2674268365234124,-0.185199420815277,-0.18280626374985193,-0.1247468544129552,-0.2140498539155761,-0.08148302180291511,-0.21346912432629045,0.0,0.13527338762445856,-0.14096325727851924,-0.009144864364378101,-0.010516757863447255,-0.21480498724538308,-2.2066693778787134
Albania,-0.25359107203916254,-0.29676684861573027,-0.23261231338844024,-0.2024512578961093,-0.26066631115258243,-0.3188106896927566,0.19151539070579698,-0.2240797496293188,-0.17377980470952542,-0.2377372900674335,-0.15851967791936508,-0.12988373334397418,-0.24173474232421605,-0.20704118364347077,-0.24192505833633748,-0.1793266407917064,-0.2699547459639443,-0.37040783468051025,-0.26718880770982184,-0.08148302180291511,-0.21346912432629045,-0.2067721672215832,-0.20331137090857976,-0.228452918512553,-0.2235745128813499,-0.2300474429354393,-0.24559189030582568,0.08716751532347852
Algeria,-0.22449194634247796,-0.21631350417732537,-0.24660315069415098,-0.20846481670138842,-0.22955907061781344,0.324941585072912,0.1903894447244477,-0.21374629496089226,0.37911203300575746,-0.18535282878539497,-0.11358363401812514,-0.0175457230612381,0.12966074404392017,-0.07915818877937528,-0.06394750978555908,-0.08925894224781007,-0.2753871394321416,-0.0026861734150222826,-0.27131065745531147,-0.08148302180291511,-0.21346912432629045,-0.21586675739611752,-0.0747240677817189,0.09784486124870115,0.019517709055329326,0.01456258854887861,-0.036971902610545226,0.6464492660360849
American Samoa,-0.25359107203916254,0.0,-0.16670311442081215,-0.20846481670138842,-0.25795913777975177,-0.35907965961805904,0.19534163760032772,-0.22393030025442018,-0.1775494149647001,-0.25071737523324644,-0.15737415481886705,-0.12863496548897482,-0.27064142558013876,-0.20861733757881362,-0.11949605547838929,0.0,0.0,-0.18446375402308202,0.0,-0.08148302180291511,-0.21346912432629045,-0.23083561497577562,-0.21718119554897372,-0.24772011447467193,-0.240143598432883,-0.24738929698406936,-0.2414435758447497,-0.15900173302066448
Andorra,-0.25359107203916254,0.0,-0.19415261105697915,-0.20846481670138842,-0.25795913777975177,-0.3557273764653413,0.19598061664446187,-0.2240797496293188,-0.17751480281185694,-0.25026309138542485,-0.15737415481886705,-0.12923518098334202,-0.2700564186134373,-0.18738308306274126,-0.1451741212611829,-0.1869113851253084,0.0,-0.16784250581297347,0.0,-0.08148302180291511,-0.21346912432629045,-0.22809917951854344,-0.21715416981489086,-0.247511847924813,-0.2399475427937861,-0.24720704818416775,-0.2417926389482954,1.5094629357506746
Angola,3.3137571967626283,-0.252760798486186,-0.2429330113258848,-0.19046793643241033,-0.266110078246167,-0.27018549039965567,0.19598061664446187,0.34562709759241794,-0.1470938899896672,-0.23294868168037716,0.02098441746020692,-0.12746873878505885,-0.15663767795471487,-0.1253716712700014,-0.200930974099448,-0.17912524951048148,-0.19979677487558564,-0.13071284888523016,-0.21652095474898936,-0.08148302180291511,3.6532227994401114,-0.22953097438127762,-0.08088434466687035,-0.01062615736187784,-0.04643001035858969,-0.03965665083643217,0.0641043068985867,-0.6374114847102741
Anguilla,-0.25359107203916254,0.0,-0.11514374070926313,-0.20846481670138842,-0.25795913777975177,-0.3599612044380847,2.3073516889161313e-17,0.0,-0.17720976570214203,-0.2505076308088154,-0.15848184758574202,-0.12884250278770637,-0.26798616100747763,-0.18571966788545294,-0.0604092722398468,-0.18711453908071657,0.0,0.2270355048871499,0.0,-0.08148302180291511,-0.21346912432629045,-0.23191353279050797,-0.21727097659051217,-0.2480813286338307,-0.24032301271337198,-0.24757783149784449,-0.22121332238329286,-0.6203558785894324
Antigua and Barbuda,-0.25359107203916254,-0.30623002574496305,-0.23270611057621826,-0.20846481670138842,-0.266110078246167,-0.3571725796554329,2.3073516889161313e-17,0.0,-0.17712074333689978,-0.24817174977993428,-0.15816165802003448,-0.12280722077205297,-0.2692718255491357,-0.19774925378258695,-0.1343959724159692,-0.18699381190305311,-0.3229783351018882,-0.39947577669417583,-0.32191496503189565,-0.08148302180291511,-0.21346912432629045,-0.22938434438562322,-0.21627625925653005,-0.24796868683573514,-0.239893273409081,-0.24707980860626666,-0.2511780743922539,-0.7803943160233415
Argentina,0.11621459640587416,1.5381890849722102,-0.1643042624855723,0.08846922193203333,5.540056367568468,0.5097988663427353,-0.15858860201065791,0.6620586418121679,-0.05742353563623022,0.32051968341338744,-0.1449054264531671,-0.001818211638885954,0.22123332937973983,0.25446791322818324,-0.19956565660359935,-0.11859881855970286,0.04511751162108945,1.9971610138743636,0.018287454988972076,-0.08148302180291511,-0.030329028519332574,0.7591945950517639,-0.17230478877524721,0.20582833227467776,0.021444935752770213,0.03203298606126218,0.21400619693225342,-0.6553198711371578
Armenia,-0.2522147192984454,-0.30110371471823627,-0.23261231338844024,-0.20846481670138842,-0.259110949125844,-0.31636968209097754,0.19598061664446187,-0.22349549469857174,-0.17125314511307954,-0.23210059981285164,-0.15677184755378717,-0.13005326068676032,-0.2501615389335569,-0.2027939585991372,-0.24192505833633748,-0.17837105126067435,-0.313504629298403,-0.36279075104995806,-0.3137168811642995,-0.08148302180291511,-0.21346912432629045,-0.21365339384842588,-0.2037690676201304,-0.2280933833108618,-0.22555051273496485,-0.2287310717609339,-0.2453632724329014,0.4102291212624272
Aruba,-0.25359107203916254,0.0,-0.16670311442081215,-0.20846481670138842,-0.25795913777975177,-0.3569997180556225,0.19597906656189495,-0.2240797496293188,-0.17653674192165542,-0.2438185340883618,-0.15740916693161888,-0.12923518098334202,-0.2672815646225233,-0.18738308306274126,-0.15015212861030275,-0.1870926373345648,0.0,-0.16784250581297347,0.0,-0.08148302180291511,-0.21346912432629045,-0.23102494335971602,-0.2165204802205476,-0.24774306744805055,-0.23982310254268568,-0.24698207867138422,-0.2400617945877099,-0.350308781676111
Australia,2.728808802309628,0.1642060726328202,-0.24417378720995941,-0.04580882499596067,1.733307807126111,1.2510078881562154,0.17587405170089157,-0.2037272886975699,0.07896785293697386,0.374791417757346,-0.05814912307370009,0.12055992071867022,-0.04048256256010907,0.17233628875121534,-0.2030188435282265,-0.007644843217161738,-0.05240873400870946,1.723465973283272,0.39310265226335966,-0.08148302180291511,-0.19190914030033301,0.2770129785713402,-0.17350792235881551,-0.010986299154654116,-0.09081425188941362,-0.08860340636287202,0.20781563878640166,-0.5453112116577289
Austria,-0.25355572386044206,-0.23429138379674336,-0.19415261105697915,-0.19208720972496837,-0.19689646805630598,-0.08579692970016797,0.10160203070481959,-0.22041969220662033,-0.15206586028796362,-0.1603917201747111,-0.14689112752102862,-0.09182723965510335,-0.20880553684464603,-0.14583507764169404,-0.12341803814836269,-0.04169855728101101,-0.13633387648084067,-0.36080971288210406,-0.12230643245311452,-0.08148302180291511,-0.21346912432629045,-0.15638832716623044,-0.17190017922161002,-0.19236077061653029,-0.18894024018634464,-0.19201525756266488,-0.15340894180369008,1.2597404361313453
Azerbaijan,-0.2506611641287662,-0.253955750503139,-0.24534376529813062,-0.20846481670138842,-0.25833326811247476,-0.24233890476876646,0.16590626731844832,-0.21671112614467136,-0.14227176481916054,-0.15192149220948226,-0.12240794898741743,-0.11809923129188436,-0.177412132259479,-0.17789980883663717,-0.2429973249760615,-0.17691526769349972,-0.2979962647221179,-0.19108574386497748,-0.29638396254602145,-0.08148302180291511,-0.21346912432629045,-0.12090100389540542,-0.16211978146139086,-0.18654865314329985,-0.18078010242944437,-0.18362187371276806,-0.22296753220830481,0.4262898170262254
Bahamas,-0.24656520070681479,-0.30622362470554093,-0.23270611057621826,-0.20846481670138842,-0.26377703520605933,-0.35320168084472503,0.19598061664446187,-0.2240797496293188,-0.17493706330305328,-0.2388505166551578,-0.15582595274532832,-0.12551120989568054,-0.25982641875133683,-0.19996992174980763,-0.15972706462167133,-0.1870454629174055,-0.321930142802859,-0.3992448304426863,-0.32158201914249046,-0.08148302180291511,-0.20561343347861188,-0.22426537549871697,-0.2164173115470654,-0.24457836260556695,-0.2381284907993356,-0.2450681710529789,-0.25050494644941446,-0.016871682013655753
Bahrain,-0.25359107203916254,0.0,-0.20371171036857652,-0.20846481670138842,-0.26688775925953623,-0.30164136766440963,0.1959439715255782,-0.2240797496293188,-0.16069329653008782,-0.19586352169471669,-0.1551818602509964,-0.08880956318818854,-0.248134127076882,-0.2105543135910361,-0.2287611439892548,-0.16512990400375474,-0.32135132824478274,-0.39621002978768954,-0.3208999864507907,-0.08148302180291511,-0.21346912432629045,0.0,-0.2150396628548573,-0.23178664562809007,-0.22960318267930613,-0.24082348136768925,-0.2326050424098553,0.8688827958620506
Bangladesh,-0.18755893664441411,0.5968960136479444,1.555182655850408,0.7901545032424041,-0.02658432612844567,-0.1706693650144288,0.19598061664446187,-0.2240797496293188,-0.11337651527134443,-0.09361828922483674,-0.10026866380148192,-0.13141727548572282,0.475203509632743,-0.05571487962041984,-0.18174707944733764,-0.17356089310732142,0.20113328332990896,0.4744413293710422,0.08199852784098602,-0.08148302180291511,-0.13963799119908266,0.0754829056893522,1.097201067199276,0.45382763807427245,0.7350939565406222,0.7899868139056213,0.06680189202698554,-0.9738333154438714
Barbados,-0.25359107203916254,-0.3062290294742359,-0.23270611057621826,-0.20846481670138842,-0.26144399216595166,-0.3546254295245004,0.19595736794291801,-0.2240797496293188,-0.17644683530433328,-0.2402263060774262,-0.1568754242662826,-0.12280722077205297,-0.2626193168772948,-0.19996992174980763,-0.22013651278260543,-0.18666474101693858,-0.32060106926976645,-0.3984948168431219,-0.32101481673046867,-0.08148302180291511,-0.21346912432629045,-0.23188767062318813,-0.2147929121418663,-0.24727529906561402,-0.23883287711308626,-0.2458775643462785,-0.25371920765248474,-0.41223369591639586
